[взглядывая, 9]
[мире, 9]
[света, 9]
[веселый, 9]
[почему-то, 9]
[молодым, 9]
[сомнения, 9]
[выстрелов, 9]
[шерер, 9]
[самим, 9]
[лед, 9]
[желаю, 9]
[думаешь, 9]
[слышны, 9]
[книзу, 9]
[ребята, 9]
[иметь, 9]
[службы, 9]
[cet, 9]
[батарее, 9]
[voila, 9]
[убить, 9]
[воли, 9]
[comte, 9]
[лежал, 9]
[заговорила, 9]
[мере, 9]
[начальников, 9]
[mes, 9]
[непременно, 9]
[вздохом, 9]
[волосы, 9]
[начинал, 9]
[знали, 9]
[добрый, 9]
[неприятно, 9]
[первого, 9]
[нисколько, 9]
[англичанин, 9]
[подошла, 9]
[войну, 9]
[madame, 9]
[шагах, 9]
[крепко, 9]
[приехала, 9]
[chose, 9]
[наклонил, 9]
[направился, 9]
[ступай, 9]
[обращая, 9]
[лесу, 9]
[прочь, 9]
[богданыч, 9]
[ils, 9]
[лиза, 9]
[усталости, 9]
[грудь, 9]
[начала, 9]
[известием, 9]
[шиншин, 9]
[мнения, 9]
[марье, 9]
[гусарский, 9]
[ишь, 9]
[дамы, 9]
[минута, 9]
[кончено, 9]
[перейти, 9]
[шинель, 9]
[старика, 9]
[пошли, 9]
[главной, 9]
[человеком, 9]
[вчера, 9]
[старому, 9]
[отношении, 9]
[мгновенно, 9]
[показал, 9]
[направлению, 9]
[ногой, 9]
[детства, 9]
[возможно, 9]
[пьером, 9]
[вышли, 9]
[недалеко, 9]
[угодно, 9]
[офицерами, 9]
[франц, 9]
[решил, 9]
[рассказа, 9]
[ядра, 9]
[денег, 9]
[наша, 9]
[ходить, 9]
[поморщился, 9]
[смотра, 9]
[ну-ка, 9]
[дел, 9]
[анной, 9]
[последний, 9]
[l'empereur, 9]
[главнокомандующему, 9]
[вернулся, 9]
[дым, 9]
[которою, 9]
[пройти, 9]
[видны, 9]
[направо, 9]
[желала, 9]
[прекрасные, 9]
[qu'on, 9]
[внизу, 9]
[австрийские, 9]
[слушать, 9]
[tete, 9]
[обществе, 9]
[сесть, 9]
[маленькую, 9]
[французского, 9]
[залу, 9]
[лежала, 8]
[утро, 8]
[подумать, 8]
[будьте, 8]
[исполнить, 8]
[женой, 8]
[кутузовым, 8]
[странно, 8]
[громче, 8]
[рта, 8]
[petite, 8]
[взяли, 8]
[смеялись, 8]
[силами, 8]
[проходя, 8]
[стрельба, 8]
[femmes, 8]
[смех, 8]
[особенности, 8]
[мужу, 8]
[катишь, 8]
[складки, 8]
[батальон, 8]
[слове, 8]
[рассказ, 8]
[общий, 8]
[переднюю, 8]
[зажечь, 8]
[месту, 8]
[-ти, 8]
[quelle, 8]
[пойдем, 8]
[comment, 8]
[русская, 8]
[атаку, 8]
[вовсе, 8]
[beau, 8]
[господин, 8]
[поскорее, 8]
[вошли, 8]
[толпой, 8]
[одною, 8]
[андреевич, 8]
[таком, 8]
[пустил, 8]
[подъезжая, 8]
[козловский, 8]
[образок, 8]
[мужчины, 8]
[sans, 8]
[хорошие, 8]
[роту, 8]
[пехотный, 8]
[mere, 8]
[стреляли, 8]
[comtesse, 8]
[чувствует, 8]
[накануне, 8]
[отряд, 8]
[колонн, 8]
[лощине, 8]
[отъехал, 8]
[письмом, 8]
[ряды, 8]
[редко, 8]
[услыхав, 8]
[отвечать, 8]
[ждать, 8]
[белыми, 8]
[муж, 8]
[замуж, 8]
[старался, 8]
[австрии, 8]
[звал, 8]
[хорошенько, 8]
[графине, 8]
[наверное, 8]
[готов, 8]
[выказывая, 8]
[вашем, 8]
[окну, 8]
[глупости, 8]
[счастливым, 8]
[позе, 8]
[имеет, 8]
[вопросы, 8]
[va, 8]
[счастия, 8]
[казались, 8]
[степени, 8]
[pierre, 8]
[красивое, 8]
[пальцем, 8]
[остаться, 8]
[красивой, 8]
[золотой, 8]
[войскам, 8]
[туман, 8]
[полагал, 8]
[роте, 8]
[первой, 8]
[подумала, 8]
[charmant, 8]
[вещь, 8]
[огромным, 8]
[встала, 8]
[двадцать, 8]
[мсье, 8]
[вида, 8]
[андреич, 8]
[некоторые, 8]
[этими, 8]
[попал, 8]
[штабе, 8]
[ответа, 8]
[плечо, 8]
[dites, 8]
[особенным, 8]
[поклонился, 8]
[борисом, 8]
[рассказывали, 8]
[становилось, 8]
[нашел, 8]
[любил, 8]
[совете, 8]
[французской, 8]
[великий, 8]
[перемирие, 8]
[просил, 8]
[центре, 8]
[стоявшего, 8]
[карета, 8]
[зубы, 8]
[прошло, 8]
[самая, 8]
[рукава, 8]
[дыма, 8]
